,MSCI
Price/Earnings (TTM),49.42648
Price/Sales (TTM),18.43164
Price/Book (MRQ),
Price/Cash Flow (TTM),42.39578
5yr Low,124.08
5yr High,679.85
5yr Avg Return,0.30425
EPS Growth 5yr,0.2633726
Revenue Growth 5yr,0.1217258
Dividend Growth 5yr,0.2948524
Short Int Current Month,700060.0
Short Int Prev Month,639967.0
Short Int Pct of Float,0.0090344
Days to Cover,1.63599
Float,77.49794
Shares Outstanding,79.95817
Institutions Holding Shares,1139.0
% Held by Institutions,0.909975
FCF Growth 5yr,0.2765390954306175
