,MSCI
% Above Low,0.36090000000000005
% Held by Institutions,0.91
52-Wk Range,['376.41 - 649.89']
Annual Dividend $,5.0
Annual Dividend %,0.0098
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,400.0
Bid Size,
Change Since Close,-3.51| |(-0.69%)
Closing Price,512.26
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",10.36
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.39799999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,508.75
Market Cap,41.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.43
Prev Close,512.26
Shares Outstanding,80.0M
Short Interest,0.009000000000000001
Today's Open,
Volume,1.0
Volume 10-day Avg,377207.0
Volume Past Day,(Light)
