,TOST
% Above Low,0.5113000000000001
% Held by Institutions,0.7829999999999999
52-Wk Range,['11.91 - 44.34']
Annual Dividend $,
Annual Dividend %,
Ask,18.07
Ask Size,18800.0
B/A Ratio,0.09574468085106383
B/A Size,1800x18800
Beta,
Bid,17.98
Bid Size,1800.0
Change Since Close,0.07| |(0.39%)
Closing Price,18.0
Day Change $,-0.82
Day Change %,-0.0436
Day High,19.03
Day Low,17.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.34
Ex-dividend Date,No dividend
Historical Volatility,0.8300000000000001
Last (size),6.0
Last (time),4:10p ET 11/28/22
Last Trade,18.07
Market Cap,9.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.82
Shares Outstanding,520.7M
Short Interest,0.0493
Today's Open,18.55
Volume,3739130.0
Volume 10-day Avg,7689001.0
Volume Past Day,(Light)
