,TOST
Price/Earnings (TTM),
Price/Sales (TTM),3.95672
Price/Book (MRQ),8.72095
Price/Cash Flow (TTM),
5yr Low,11.91
5yr High,69.93
5yr Avg Return,-0.47615
Short Int Current Month,15234627.0
Short Int Prev Month,16127715.0
Short Int Pct of Float,0.0493314
Days to Cover,1.59844
Float,312.8288
Shares Outstanding,520.738
Institutions Holding Shares,340.0
% Held by Institutions,0.783015
FCF Growth 5yr,1.1803921568627451
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
