,REAL
Price/Earnings (TTM),
Price/Sales (TTM),0.25142
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.15
5yr High,30.22
5yr Avg Return,-0.401075
Short Int Current Month,13352288.0
Short Int Prev Month,13698602.0
Short Int Pct of Float,0.1424058
Days to Cover,3.00665
Float,94.74643
Shares Outstanding,98.06578
Institutions Holding Shares,221.0
% Held by Institutions,0.6988179999999999
FCF Growth 5yr,0.09108897037473347
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
