,REAL
% Above Low,0.26530000000000004
% Held by Institutions,0.6988
52-Wk Range,['1.15 - 16.37']
Annual Dividend $,
Annual Dividend %,
Ask,1.45
Ask Size,5500.0
B/A Ratio,0.509090909090909
B/A Size,2800x5500
Beta,2.3
Bid,1.45
Bid Size,2800.0
Day Change $,-0.0549
Day Change %,-0.0364
Day High,1.55
Day Low,1.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.23
Ex-dividend Date,No dividend
Historical Volatility,1.212
Last (size),100.0
Last (time),12:29p ET 11/28/22
Market Cap,143.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.51
Price,1.46
Shares Outstanding,98.1M
Short Interest,0.1424
Today's Open,1.48
Volume Past Day,(Light)
