,SPB
Price/Earnings (TTM),
Price/Sales (TTM),0.64843
Price/Book (MRQ),1.60849
Price/Cash Flow (TTM),90.67925
5yr Low,19.59
5yr High,119.0
5yr Avg Return,-0.014583333333333332
EPS Growth 5yr,
Revenue Growth 5yr,-0.0330914
Dividend Growth 5yr,
Short Int Current Month,1416746.0
Short Int Prev Month,1616585.0
Short Int Pct of Float,0.0354347
Days to Cover,3.3122
Float,39.98187
Shares Outstanding,40.78746
Institutions Holding Shares,315.0
% Held by Institutions,0.958133
FCF Growth 5yr,-0.25081904961111173
