,SPB
% Above Low,0.25920000000000004
% Held by Institutions,0.9581000000000001
52-Wk Range,['38.93 - 104.38']
Annual Dividend $,1.68
Annual Dividend %,0.0337
Ask,49.08
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.5
Bid,48.99
Bid Size,300.0
Day Change $,-0.78
Day Change %,-0.015700000000000002
Day High,50.03
Day Low,48.83
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",-1.88
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.423
Last (size),100.0
Last (time),2:57p ET 11/28/22
Market Cap,2.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,49.8
Price,49.02
Shares Outstanding,40.8M
Short Interest,0.0354
Today's Open,49.09
Volume Past Day,(Light)
