,VERI
% Above Low,0.2379
% Held by Institutions,0.45740000000000003
52-Wk Range,['4.63 - 27.17']
Annual Dividend $,
Annual Dividend %,
Ask,5.79
Ask Size,200.0
B/A Ratio,17.5
B/A Size,3500x200
Beta,2.9
Bid,5.73
Bid Size,3500.0
Closing Price,5.73
Day Change $,-0.17
Day Change %,-0.0288
Day High,5.99
Day Low,5.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),5.0
Last (time),3:59p ET 11/28/22
Market Cap,207.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.9
Shares Outstanding,36.3M
Short Interest,0.1603
Today's Open,5.88
Volume,256026.0
Volume 10-day Avg,277552.0
Volume Past Day,(Average)
