,ULCC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.935064935064935
Growth 1yr High Est,-0.9621212121212122
Growth 1yr Consensus Est,-0.9485930735930737
Growth 2yr Low Est,-4.967532467532467
Growth 2yr High Est,-18.981060606060606
Growth 2yr Consensus Est,-11.974296536796537
Growth 5yr Low Est,-4.967532467532467
Growth 5yr High Est,-18.981060606060606
Growth 5yr Consensus Est,-11.974296536796537
Growth 5yr Actual/Est,-8.596830985915492
Growth 3yr Historic,0.0
