,ULCC
% Below High,0.15410000000000001
% Held by Institutions,1.0097
52-Wk Range,['8.19 - 15.25']
Annual Dividend $,
Annual Dividend %,
Ask,13.32
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,12.84
Bid Size,100.0
Closing Price,12.9
Day Change $,-0.56
Day Change %,-0.0416
Day High,13.48
Day Low,12.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.46
Shares Outstanding,217.8M
Short Interest,0.156
Today's Open,13.29
Volume,572792.0
Volume 10-day Avg,692689.0
Volume Past Day,(Below Average)
