,ULCC
Price/Earnings (TTM),
Price/Sales (TTM),0.96768
Price/Book (MRQ),6.26299
Price/Cash Flow (TTM),
5yr Low,8.19
5yr High,22.7
5yr Avg Return,-0.16564999999999996
Short Int Current Month,5662945.0
Short Int Prev Month,5951411.0
Short Int Pct of Float,0.155957
Days to Cover,6.33987
Float,215.1357
Shares Outstanding,217.7639
Institutions Holding Shares,165.0
% Held by Institutions,1.009695
FCF Growth 5yr,-0.043159843396249974
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
