,GDOT
% Above Low,0.179
% Held by Institutions,0.9267
52-Wk Range,['16.93 - 39.02']
Annual Dividend $,
Annual Dividend %,
Ask,22.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,18.0
Bid Size,100.0
Closing Price,19.96
Day Change $,0.27
Day Change %,0.0137
Day High,20.07
Day Low,19.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.89
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.47
Prev Close,19.69
Shares Outstanding,52.6M
Short Interest,0.0489
Today's Open,19.68
Volume,237236.0
Volume 10-day Avg,625038.0
Volume Past Day,(Light)
