,GDOT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.09865470852017943
Growth 1yr High Est,0.1013215859030836
Growth 1yr Consensus Est,0.09998814721163152
Growth 2yr Low Est,-0.0853665232909307
Growth 2yr High Est,0.03266079295154184
Growth 2yr Consensus Est,-0.02635286516969443
Growth 5yr Low Est,-0.0869637044498934
Growth 5yr High Est,-0.02730596716059272
Growth 5yr Consensus Est,-0.05713483580524306
Growth 5yr Actual/Est,-0.04777444295175215
Growth 3yr Historic,-0.04908355840934958
