,GDOT
Price/Earnings (TTM),22.47368
Price/Sales (TTM),0.72969
Price/Book (MRQ),1.34326
Price/Cash Flow (TTM),8.06805
5yr Low,14.2
5yr High,93.0
5yr Avg Return,0.02491666666666667
EPS Growth 5yr,0.0119644
Revenue Growth 5yr,0.1480022
Dividend Growth 5yr,
Short Int Current Month,2472414.0
Short Int Prev Month,2363321.0
Short Int Pct of Float,0.0488839
Days to Cover,3.47637
Float,51.01151
Shares Outstanding,52.56886
Institutions Holding Shares,275.0
% Held by Institutions,0.926682
FCF Growth 5yr,0.2449398085110982
