,CPK
% Above Low,0.1307
% Held by Institutions,0.7391
52-Wk Range,['105.79 - 146.30']
Annual Dividend $,2.14
Annual Dividend %,0.0179
Ask,146.0
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,0.6
Bid,47.8
Bid Size,200.0
Closing Price,119.62
Day Change $,0.45
Day Change %,0.0038
Day High,120.24
Day Low,119.0
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",4.86
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.27899999999999997
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.61
Prev Close,119.17
Shares Outstanding,17.7M
Short Interest,0.013500000000000002
Today's Open,119.85
Volume,22696.0
Volume 10-day Avg,76852.0
Volume Past Day,(Light)
