,CPK
Price/Earnings (TTM),24.60719
Price/Sales (TTM),3.24608
Price/Book (MRQ),2.60537
Price/Cash Flow (TTM),13.7737
5yr Low,66.35
5yr High,146.3
5yr Avg Return,0.07778333333333333
EPS Growth 5yr,0.1059168
Revenue Growth 5yr,0.0270093
Dividend Growth 5yr,0.09199310000000001
Short Int Current Month,233353.0
Short Int Prev Month,295071.0
Short Int Pct of Float,0.013529199999999998
Days to Cover,2.71451
Float,17.248
Shares Outstanding,17.74103
Institutions Holding Shares,322.0
% Held by Institutions,0.739148
FCF Growth 5yr,-0.6446266001831001
