,PFBC
% Below High,0.0863
% Held by Institutions,0.7543000000000001
52-Wk Range,['62.02 - 81.97']
Annual Dividend $,1.72
Annual Dividend %,0.0229
Ask,75.22
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,74.67
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.0031
Day High,75.33
Day Low,74.63
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",7.81
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.264
Last (size),1.0
Last (time),10:05a ET 11/28/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.62
Prev Close,75.13
Price,74.9
Shares Outstanding,14.4M
Short Interest,0.0412
Today's Open,74.98
Volume Past Day,(Light)
