,PFBC
Price/Earnings (TTM),9.61849
Price/Sales (TTM),4.65558
Price/Book (MRQ),1.82646
Price/Cash Flow (TTM),13.15919
5yr Low,20.04
5yr High,81.97
5yr Avg Return,0.06063333333333334
EPS Growth 5yr,0.2012447
Revenue Growth 5yr,0.11416969999999999
Dividend Growth 5yr,0.20036079999999998
Short Int Current Month,544058.0
Short Int Prev Month,486372.0
Short Int Pct of Float,0.041242
Days to Cover,10.49191
Float,13.14773
Shares Outstanding,14.35671
Institutions Holding Shares,232.0
% Held by Institutions,0.754294
FCF Growth 5yr,0.160472858498238
