,ACCD
Price/Earnings (TTM),
Price/Sales (TTM),1.80692
Price/Book (MRQ),1.09916
Price/Cash Flow (TTM),
5yr Low,4.61
5yr High,65.25
5yr Avg Return,-0.28146666666666664
Short Int Current Month,4324166.0
Short Int Prev Month,4192870.0
Short Int Pct of Float,0.0616196
Days to Cover,7.13303
Float,68.97604
Shares Outstanding,71.93891
Institutions Holding Shares,207.0
% Held by Institutions,0.7806839999999999
FCF Growth 5yr,0.02691705345893684
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
