,ACCD
% Above Low,0.8308
% Held by Institutions,0.7807
52-Wk Range,['4.61 - 28.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.83
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,
Bid,8.0
Bid Size,600.0
Closing Price,8.44
Day Change $,-0.17
Day Change %,-0.0197
Day High,8.7
Day Low,8.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.08
Ex-dividend Date,No dividend
Historical Volatility,1.202
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,604.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.61
Shares Outstanding,71.9M
Short Interest,0.0616
Today's Open,8.54
Volume,166885.0
Volume 10-day Avg,512849.0
Volume Past Day,(Light)
