,DM
Price/Earnings (TTM),
Price/Sales (TTM),3.15803
Price/Book (MRQ),0.80176
Price/Cash Flow (TTM),
5yr Low,1.26
5yr High,34.94
5yr Avg Return,-0.138975
Short Int Current Month,59488969.0
Short Int Prev Month,61041338.0
Short Int Pct of Float,0.20968540000000002
Days to Cover,14.92493
Float,283.7012
Shares Outstanding,317.5771
Institutions Holding Shares,266.0
% Held by Institutions,0.47260599999999997
FCF Growth 5yr,0.20978125145334625
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
