,DM
% Above Low,0.619
% Held by Institutions,0.47259999999999996
52-Wk Range,['1.26 - 6.74']
Annual Dividend $,
Annual Dividend %,
Ask,2.14
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.3
Bid,2.01
Bid Size,1000.0
Closing Price,2.04
Day Change $,0.01
Day Change %,0.0049
Day High,2.06
Day Low,2.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,1.298
Last (size),78.0
Last (time),5:00p ET 11/25/22
Market Cap,646.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.03
Shares Outstanding,317.6M
Short Interest,0.2097
Today's Open,2.06
Volume,1109641.0
Volume 10-day Avg,3693677.0
Volume Past Day,(Light)
