,CASY
Price/Earnings (TTM),24.16875
Price/Sales (TTM),0.63247
Price/Book (MRQ),3.77969
Price/Cash Flow (TTM),13.27964
5yr Low,90.42
5yr High,242.56
5yr Avg Return,0.12975
EPS Growth 5yr,0.1519381
Revenue Growth 5yr,0.1152773
Dividend Growth 5yr,0.0798172
Short Int Current Month,618726.0
Short Int Prev Month,758385.0
Short Int Pct of Float,0.0166821
Days to Cover,2.81654
Float,37.10007
Shares Outstanding,37.25509
Institutions Holding Shares,528.0
% Held by Institutions,0.858861
FCF Growth 5yr,-0.0496923000977626
