,CASY
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.046697038724373696
Growth 1yr High Est,0.15541264737406202
Growth 1yr Consensus Est,0.10105484304921786
Growth 2yr Low Est,-0.02616181796099054
Growth 2yr High Est,0.07770632368703101
Growth 2yr Consensus Est,0.025772252863020234
Growth 5yr Low Est,0.0926535762381955
Growth 5yr High Est,0.07338006584029766
Growth 5yr Consensus Est,0.08301682103924658
Growth 5yr Actual/Est,0.0895680362077112
Growth 3yr Historic,0.06655013613902988
