,CASY
% Below High,0.0044
% Held by Institutions,0.8589
52-Wk Range,['170.82 - 242.56']
Annual Dividend $,1.52
Annual Dividend %,0.0063
Ask,250.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,197.62
Bid Size,300.0
Closing Price,241.5
Day Change $,2.48
Day Change %,0.0104
Day High,242.51
Day Low,238.43
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",9.99
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.27399999999999997
Last (size),49.0
Last (time),12:59p ET 11/25/22
Market Cap,9.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.17
Prev Close,239.02
Shares Outstanding,37.3M
Short Interest,0.0167
Today's Open,239.01
Volume,87051.0
Volume 10-day Avg,200707.0
Volume Past Day,(Light)
