,MCHP
Price/Earnings (TTM),23.08321
Price/Sales (TTM),5.4486
Price/Book (MRQ),6.81935
Price/Cash Flow (TTM),14.1125
5yr Low,26.58
5yr High,90.0
5yr Avg Return,0.1161166666666667
EPS Growth 5yr,0.44285559999999996
Revenue Growth 5yr,0.1488765
Dividend Growth 5yr,0.0478074
Short Int Current Month,12528287.0
Short Int Prev Month,12459585.0
Short Int Pct of Float,0.0232625
Days to Cover,1.93516
Float,538.5668
Shares Outstanding,550.0087
Institutions Holding Shares,1323.0
% Held by Institutions,0.908493
FCF Growth 5yr,0.19591148240903036
