,MA
Price/Earnings (TTM),35.08662
Price/Sales (TTM),15.61061
Price/Book (MRQ),53.18225
Price/Cash Flow (TTM),32.04775
5yr Low,140.61
5yr High,401.5
5yr Avg Return,0.16608333333333333
EPS Growth 5yr,0.18891470000000002
Revenue Growth 5yr,0.1187351
Dividend Growth 5yr,0.18285579999999999
Short Int Current Month,4666018.0
Short Int Prev Month,4735401.0
Short Int Pct of Float,0.0054867
Days to Cover,1.54147
Float,850.7028
Shares Outstanding,961.4598
Institutions Holding Shares,3362.0
% Held by Institutions,0.765479
FCF Growth 5yr,0.5499829753872741
