,MA
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,0.28484107579462115
Growth 1yr High Est,0.27976190476190466
Growth 1yr Consensus Est,0.2823014902782629
Growth 2yr Low Est,0.1519352857564924
Growth 2yr High Est,0.24453211517164997
Growth 2yr Consensus Est,0.19823370046407118
Growth 5yr Low Est,0.10996441140145702
Growth 5yr High Est,0.14614243075261246
Growth 5yr Consensus Est,0.12805342107703474
Growth 5yr Actual/Est,0.1361676828334259
Growth 3yr Historic,0.03347954708763423
