,MA
% Below High,0.1216
% Held by Institutions,0.7655
52-Wk Range,['276.87 - 399.92']
Annual Dividend $,1.96
Annual Dividend %,0.005600000000000001
Ask,352.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,344.0
Bid Size,100.0
Change Since Close,-4.29| |(-1.22%)
Closing Price,351.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",10.01
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.33299999999999996
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,347.0
Market Cap,337.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.09
Prev Close,351.29
Shares Outstanding,961.5M
Short Interest,0.0055000000000000005
Today's Open,
Volume,519.0
Volume 10-day Avg,2454757.0
Volume Past Day,(Light)
