,FDS
Price/Earnings (TTM),44.5518
Price/Sales (TTM),9.41313
Price/Book (MRQ),13.01812
Price/Cash Flow (TTM),35.89079
5yr Low,183.89
5yr High,495.4
5yr Avg Return,0.16903333333333337
EPS Growth 5yr,0.0948056
Revenue Growth 5yr,0.08590350000000001
Dividend Growth 5yr,0.1003682
Short Int Current Month,514013.0
Short Int Prev Month,624334.0
Short Int Pct of Float,0.0135126
Days to Cover,2.23222
Float,38.04985
Shares Outstanding,38.09822
Institutions Holding Shares,985.0
% Held by Institutions,0.86449
FCF Growth 5yr,1.0411519222582442
