,FDS
% Below High,0.08039999999999999
% Held by Institutions,0.8645
52-Wk Range,['345.92 - 495.40']
Annual Dividend $,3.56
Annual Dividend %,0.0078000000000000005
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,187.89
Bid Size,
Closing Price,455.58
Day Change $,1.84
Day Change %,0.0040999999999999995
Day High,455.68
Day Low,452.47
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",10.23
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28300000000000003
Last (size),966.0
Last (time),5:00p ET 11/25/22
Market Cap,17.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.55
Prev Close,453.74
Shares Outstanding,38.1M
Short Interest,0.013500000000000002
Today's Open,452.47
Volume,75220.0
Volume 10-day Avg,208077.0
Volume Past Day,(Light)
