,TMDX
% Below High,0.0475
% Held by Institutions,0.9312
52-Wk Range,['10.00 - 61.30']
Annual Dividend $,
Annual Dividend %,
Ask,60.5
Ask Size,100.0
Ask close,71.62
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,58.3
Bid Size,200.0
Bid close,45.83
Change Since Close,0.00| |(0.00%)
Closing Price,58.39
Day Change $,-0.86
Day Change %,-0.014499999999999999
Day High,60.61
Day Low,57.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.49
Ex-dividend Date,No dividend
Historical Volatility,0.841
Last (size),2.0
Last (time),4:00p ET 11/28/22
Last Trade,58.39
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.25
Shares Outstanding,31.9M
Short Interest,0.0689
Today's Open,59.04
Volume,359341.0
Volume 10-day Avg,343167.0
Volume Past Day,(Average)
