,TMDX
Price/Earnings (TTM),
Price/Sales (TTM),26.36177
Price/Book (MRQ),10.07196
Price/Cash Flow (TTM),
5yr Low,10.0
5yr High,61.3
5yr Avg Return,0.495625
EPS Growth 5yr,
Revenue Growth 5yr,0.3726986
Dividend Growth 5yr,
Short Int Current Month,2115682.0
Short Int Prev Month,2288761.0
Short Int Pct of Float,0.0689105
Days to Cover,3.57145
Float,30.68186
Shares Outstanding,31.92422
Institutions Holding Shares,244.0
% Held by Institutions,0.9311750000000001
FCF Growth 5yr,0.26505502919131435
