,HBNC
% Above Low,0.1018
% Held by Institutions,0.5589999999999999
52-Wk Range,['14.64 - 23.80']
Annual Dividend $,0.64
Annual Dividend %,0.0397
Ask,17.16
Ask Size,900.0
B/A Ratio,0.3333333333333333
B/A Size,300x900
Beta,0.9
Bid,15.4
Bid Size,300.0
Closing Price,16.13
Day Change $,0.28
Day Change %,0.0177
Day High,16.25
Day Low,15.8
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.365
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,708.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.53
Prev Close,15.85
Shares Outstanding,43.9M
Short Interest,0.0123
Today's Open,15.88
Volume,60040.0
Volume 10-day Avg,161340.0
Volume Past Day,(Light)
