,HBNC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.08080808080808088
Growth 1yr High Est,0.06796116504854366
Growth 1yr Consensus Est,0.07438462292831227
Growth 2yr Low Est,-0.015670725951099806
Growth 2yr High Est,0.011253309796999067
Growth 2yr Consensus Est,-0.0022087080770503698
Growth 5yr Low Est,0.06782253176129219
Growth 5yr High Est,0.08788471941462858
Growth 5yr Consensus Est,0.07785362558796038
Growth 5yr Actual/Est,0.07405423786162404
Growth 3yr Historic,0.0748910675381263
