,HBNC
Price/Earnings (TTM),7.52546
Price/Sales (TTM),2.78834
Price/Book (MRQ),1.09866
Price/Cash Flow (TTM),6.76347
5yr Low,7.42
5yr High,23.8
5yr Avg Return,-0.002116666666666672
EPS Growth 5yr,0.2011638
Revenue Growth 5yr,0.1342538
Dividend Growth 5yr,0.147256
Short Int Current Month,480942.0
Short Int Prev Month,555427.0
Short Int Pct of Float,0.012273000000000001
Days to Cover,1.99334
Float,39.19734
Shares Outstanding,43.93489
Institutions Holding Shares,210.0
% Held by Institutions,0.559026
FCF Growth 5yr,0.20566239316239318
