,NTAP
% Above Low,0.2328
% Held by Institutions,0.8852
52-Wk Range,['60.56 - 96.82']
Annual Dividend $,2.0
Annual Dividend %,0.0268
Ask,78.5
Ask Size,400.0
Ask close,79.26
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,73.76
Bid Size,100.0
Bid close,69.96
Change Since Close,0.00| |(0.00%)
Closing Price,74.66
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",4.16
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.331
Last (size),50.0
Last (time),1:00p ET 11/25/22
Last Trade,74.66
Market Cap,16.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.93
Prev Close,74.66
Shares Outstanding,217.4M
Short Interest,0.0262
Today's Open,
Volume,54.0
Volume 10-day Avg,1073377.0
Volume Past Day,(Light)
