,NTAP
Price/Earnings (TTM),17.9257
Price/Sales (TTM),2.51527
Price/Book (MRQ),24.77303
Price/Cash Flow (TTM),14.05067
5yr Low,34.66
5yr High,96.82
5yr Avg Return,0.06420000000000001
EPS Growth 5yr,0.1904008
Revenue Growth 5yr,0.0284558
Dividend Growth 5yr,0.21428540000000001
Short Int Current Month,5678682.0
Short Int Prev Month,5532516.0
Short Int Pct of Float,0.026210200000000003
Days to Cover,4.73737
Float,216.6969
Shares Outstanding,217.3657
Institutions Holding Shares,955.0
% Held by Institutions,0.885232
FCF Growth 5yr,0.06758906171800601
