,MUR
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,4.409523809523809
Growth 1yr High Est,5.299319727891157
Growth 1yr Consensus Est,4.854421768707483
Growth 2yr Low Est,2.122895707578806
Growth 2yr High Est,2.7290335140535698
Growth 2yr Consensus Est,2.425964610816188
Growth 5yr Low Est,1.2719741695788767
Growth 5yr High Est,1.3715097640197917
Growth 5yr Consensus Est,1.3217419667993342
Growth 5yr Actual/Est,-0.10090509783867768
Growth 3yr Historic,-1.1171954022988506
