,MUR
% Below High,0.0732
% Held by Institutions,0.7831
52-Wk Range,['23.50 - 51.29']
Annual Dividend $,1.0
Annual Dividend %,0.021
Ask,46.7
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,2.5
Bid,45.85
Bid Size,500.0
Change Since Close,-1.24| |(-2.61%)
Closing Price,47.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.5650000000000001
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,46.29
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.97
Prev Close,47.53
Shares Outstanding,155.5M
Short Interest,0.042699999999999995
Today's Open,
Volume,1277.0
Volume 10-day Avg,1399818.0
Volume Past Day,(Light)
