,HMN
Price/Earnings (TTM),28.07583
Price/Sales (TTM),1.11554
Price/Book (MRQ),1.42836
Price/Cash Flow (TTM),21.75072
5yr Low,30.48
5yr High,48.15
5yr Avg Return,-0.03098333333333333
EPS Growth 5yr,0.1087379
Revenue Growth 5yr,0.0329298
Dividend Growth 5yr,0.031865700000000004
Short Int Current Month,726549.0
Short Int Prev Month,956066.0
Short Int Pct of Float,0.0180597
Days to Cover,3.39013
Float,40.25762
Shares Outstanding,40.89829
Institutions Holding Shares,268.0
% Held by Institutions,1.055324
FCF Growth 5yr,
