,HMN
% Above Low,0.1534
% Held by Institutions,1.0553
52-Wk Range,['32.60 - 42.95']
Annual Dividend $,1.28
Annual Dividend %,0.034
Ask,37.89
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,
Bid Size,
Closing Price,37.6
Day Change $,0.47
Day Change %,0.0127
Day High,37.88
Day Low,36.98
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.271
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.08
Prev Close,37.13
Shares Outstanding,40.9M
Short Interest,0.0181
Today's Open,37.46
Volume,78561.0
Volume 10-day Avg,173903.0
Volume Past Day,(Light)
