,HMN
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2093023255813954
Growth 1yr High Est,-0.13636363636363646
Growth 1yr Consensus Est,-0.17283298097251593
Growth 2yr Low Est,0.16005471956224354
Growth 2yr High Est,0.32655502392344493
Growth 2yr Consensus Est,0.24330487174284424
Growth 5yr Low Est,0.08002735978112177
Growth 5yr High Est,0.16327751196172247
Growth 5yr Consensus Est,0.12165243587142212
Growth 5yr Actual/Est,0.22744235323909254
Growth 3yr Historic,0.15033422459893042
