,ATEN
% Below High,0.0788
% Held by Institutions,0.8967
52-Wk Range,['12.27 - 19.79']
Annual Dividend $,0.24
Annual Dividend %,0.0132
Ask,19.64
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.0
Bid,15.54
Bid Size,500.0
Closing Price,18.23
Day Change $,-0.04
Day Change %,-0.0022
Day High,18.45
Day Low,18.1
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.466
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",36.32
Prev Close,18.27
Shares Outstanding,73.4M
Short Interest,0.0601
Today's Open,18.28
Volume,228478.0
Volume 10-day Avg,815914.0
Volume Past Day,(Light)
