,ATEN
Price/Earnings (TTM),36.32125
Price/Sales (TTM),4.89786
Price/Book (MRQ),8.3255
Price/Cash Flow (TTM),29.20929
5yr Low,3.43
5yr High,19.79
5yr Avg Return,0.18066666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0192574
Dividend Growth 5yr,
Short Int Current Month,4055958.0
Short Int Prev Month,3500895.0
Short Int Pct of Float,0.0600546
Days to Cover,3.78038
Float,67.41087
Shares Outstanding,73.44782
Institutions Holding Shares,284.0
% Held by Institutions,0.8967040000000001
FCF Growth 5yr,0.1252175643477056
