,COF
Price/Earnings (TTM),5.03421
Price/Sales (TTM),1.16498
Price/Book (MRQ),0.84437
Price/Cash Flow (TTM),3.37768
5yr Low,38.0
5yr High,177.95
5yr Avg Return,0.06425
EPS Growth 5yr,0.3121143
Revenue Growth 5yr,0.0239684
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,5512053.0
Short Int Prev Month,6715479.0
Short Int Pct of Float,0.014627300000000001
Days to Cover,1.85673
Float,377.4997
Shares Outstanding,381.6986
Institutions Holding Shares,1316.0
% Held by Institutions,0.888562
FCF Growth 5yr,-2.9731570427698117
