,COF
% Above Low,0.1268
% Held by Institutions,0.8886
52-Wk Range,['90.27 - 162.40']
Annual Dividend $,2.4
Annual Dividend %,0.0236
Ask,109.7
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.4
Bid,96.5
Bid Size,100.0
Closing Price,101.72
Day Change $,0.09
Day Change %,0.0009
Day High,101.95
Day Low,100.9
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",20.21
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.425
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,38.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.03
Prev Close,101.63
Shares Outstanding,381.7M
Short Interest,0.0146
Today's Open,101.14
Volume,589204.0
Volume 10-day Avg,2945684.0
Volume Past Day,(Light)
