,COF
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.32734912146676853
Growth 1yr High Est,-0.2711370262390671
Growth 1yr Consensus Est,-0.2992430738529178
Growth 2yr Low Est,-0.38741107407807474
Growth 2yr High Est,-0.10856851311953364
Growth 2yr Consensus Est,-0.2479897935988042
Growth 5yr Low Est,0.16175237230416328
Growth 5yr High Est,0.307123943083727
Growth 5yr Consensus Est,0.2344381576939451
Growth 5yr Actual/Est,0.805058227375796
Growth 3yr Historic,0.917387620328797
