,AMLX
% Below High,0.0083
% Held by Institutions,0.6446
52-Wk Range,['6.51 - 39.08']
Annual Dividend $,
Annual Dividend %,
Ask,38.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,37.78
Bid Size,100.0
Closing Price,38.75
Day Change $,1.2
Day Change %,0.032
Day High,39.08
Day Low,36.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.28
Ex-dividend Date,No dividend
Historical Volatility,1.2040000000000002
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,37.55
Shares Outstanding,66.3M
Short Interest,0.11789999999999999
Today's Open,37.61
Volume,881723.0
Volume 10-day Avg,769038.0
Volume Past Day,(Above Average)
