,AMLX
Price/Earnings (TTM),
Price/Sales (TTM),7441.822
Price/Book (MRQ),15.74807
Price/Cash Flow (TTM),
5yr Low,6.51
5yr High,38.77
5yr Avg Return,0.8452
Short Int Current Month,5245229.0
Short Int Prev Month,5357267.0
Short Int Pct of Float,0.1178542
Days to Cover,6.28346
Float,49.97814
Shares Outstanding,66.25622
Institutions Holding Shares,121.0
% Held by Institutions,0.644556
FCF Growth 5yr,0.39926549763889113
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
