,RAMP
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,2.888888888888889
Growth 1yr High Est,2.923076923076923
Growth 1yr Consensus Est,2.905982905982906
Growth 2yr Low Est,1.6015873015873017
Growth 2yr High Est,1.5595776772247358
Growth 2yr Consensus Est,1.5805824894060188
Growth 5yr Low Est,1.0677248677248679
Growth 5yr High Est,1.0397184514831572
Growth 5yr Consensus Est,1.0537216596040124
Growth 5yr Actual/Est,0.15036675281240502
Growth 3yr Historic,-0.08280632411067196
