,RAMP
% Above Low,0.3761
% Held by Institutions,0.9331
52-Wk Range,['15.37 - 51.08']
Annual Dividend $,
Annual Dividend %,
Ask,21.18
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,21.12
Bid Size,200.0
Day Change $,0.08
Day Change %,0.0038
Day High,21.22
Day Low,20.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.51
Ex-dividend Date,No dividend
Historical Volatility,0.544
Last (size),7.0
Last (time),12:09p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.07
Price,21.15
Shares Outstanding,66.5M
Short Interest,0.032799999999999996
Today's Open,20.88
Volume Past Day,(Light)
