,AMP
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.06479383778885373
Growth 1yr High Est,0.11785714285714288
Growth 1yr Consensus Est,0.0913254903229983
Growth 2yr Low Est,0.1164394720859162
Growth 2yr High Est,0.1735451848471018
Growth 2yr Consensus Est,0.144992328466509
Growth 5yr Low Est,0.19013429048262015
Growth 5yr High Est,0.17980728687057906
Growth 5yr Consensus Est,0.1849707886765996
Growth 5yr Actual/Est,0.18619833523176482
Growth 3yr Historic,0.12168751764539804
