,AMP
Price/Earnings (TTM),13.8527
Price/Sales (TTM),2.45041
Price/Book (MRQ),10.88917
Price/Cash Flow (TTM),24.09683
5yr Low,80.01
5yr High,339.41
5yr Avg Return,0.18013333333333337
EPS Growth 5yr,0.24124600000000002
Revenue Growth 5yr,0.0257375
Dividend Growth 5yr,0.0869365
Short Int Current Month,1050949.0
Short Int Prev Month,1067551.0
Short Int Pct of Float,0.009902
Days to Cover,1.5776
Float,106.1463
Shares Outstanding,106.4172
Institutions Holding Shares,1259.0
% Held by Institutions,0.835085
FCF Growth 5yr,1.2105273914389922
