,AMP
% Below High,0.0206
% Held by Institutions,0.8351000000000001
52-Wk Range,['219.99 - 339.41']
Annual Dividend $,5.0
Annual Dividend %,0.015
Ask,333.45
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,332.41
Day Change $,-0.19
Day Change %,-0.0006
Day High,334.0
Day Low,330.47
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",24.0
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.36200000000000004
Last (size),2700.0
Last (time),5:00p ET 11/25/22
Market Cap,35.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.85
Prev Close,332.6
Shares Outstanding,106.4M
Short Interest,0.009899999999999999
Today's Open,331.29
Volume,164041.0
Volume 10-day Avg,664637.0
Volume Past Day,(Light)
