,RMBS
% Below High,0.0437
% Held by Institutions,0.8844
52-Wk Range,['20.00 - 38.88']
Annual Dividend $,
Annual Dividend %,
Ask,37.19
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.2
Bid,37.16
Bid Size,200.0
Day Change $,-0.12
Day Change %,-0.0032
Day High,37.29
Day Low,36.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.23
Ex-dividend Date,No dividend
Historical Volatility,0.41700000000000004
Last (size),100.0
Last (time),12:57p ET 11/28/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,37.3
Price,37.18
Shares Outstanding,107.5M
Short Interest,0.0222
Today's Open,36.91
Volume Past Day,(Light)
