,RMBS
Price/Earnings (TTM),
Price/Sales (TTM),9.45076
Price/Book (MRQ),5.34627
Price/Cash Flow (TTM),184.0124
5yr Low,7.17
5yr High,38.88
5yr Avg Return,0.2469333333333333
EPS Growth 5yr,0.2150031
Revenue Growth 5yr,-0.0049768
Dividend Growth 5yr,
Short Int Current Month,2351703.0
Short Int Prev Month,3092878.0
Short Int Pct of Float,0.0222313
Days to Cover,1.68803
Float,105.7889
Shares Outstanding,107.482
Institutions Holding Shares,330.0
% Held by Institutions,0.884444
FCF Growth 5yr,0.4603413396747403
