,ARMK
% Below High,0.0027
% Held by Institutions,0.9447
52-Wk Range,['28.74 - 41.20']
Annual Dividend $,0.44
Annual Dividend %,0.010700000000000001
Ask,43.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.7
Bid,36.91
Bid Size,100.0
Closing Price,41.09
Day Change $,0.38
Day Change %,0.009300000000000001
Day High,41.09
Day Low,40.65
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",0.75
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.34600000000000003
Last (size),485.0
Last (time),5:00p ET 11/25/22
Market Cap,10.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.71
Prev Close,40.71
Shares Outstanding,258.7M
Short Interest,0.044800000000000006
Today's Open,40.72
Volume,614276.0
Volume 10-day Avg,2656757.0
Volume Past Day,(Light)
