,ARMK
Price/Earnings (TTM),54.7057
Price/Sales (TTM),0.65119
Price/Book (MRQ),3.50905
Price/Cash Flow (TTM),14.6342
5yr Low,9.65
5yr High,47.22
5yr Avg Return,0.02846666666666666
EPS Growth 5yr,-0.12770530000000002
Revenue Growth 5yr,0.0225451
Dividend Growth 5yr,0.0132371
Short Int Current Month,11499462.0
Short Int Prev Month,11376399.0
Short Int Pct of Float,0.044829100000000004
Days to Cover,3.80656
Float,256.5467
Shares Outstanding,258.7443
Institutions Holding Shares,475.0
% Held by Institutions,0.944698
FCF Growth 5yr,-0.6346606929767865
