,BR
Price/Earnings (TTM),33.72205
Price/Sales (TTM),3.01305
Price/Book (MRQ),9.18254
Price/Cash Flow (TTM),20.74578
5yr Low,81.9
5yr High,185.4
5yr Avg Return,0.10156666666666664
EPS Growth 5yr,0.10955069999999999
Revenue Growth 5yr,0.06624970000000001
Dividend Growth 5yr,0.14165060000000002
Short Int Current Month,1444650.0
Short Int Prev Month,1744248.0
Short Int Pct of Float,0.0123728
Days to Cover,1.88424
Float,116.8677
Shares Outstanding,117.6553
Institutions Holding Shares,1079.0
% Held by Institutions,0.876424
FCF Growth 5yr,-2.832597250707952
