,BR
% Above Low,0.1307
% Held by Institutions,0.8764
52-Wk Range,['131.35 - 185.40']
Annual Dividend $,2.9
Annual Dividend %,0.0195
Ask,149.06
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,80.8
Bid Size,200.0
Closing Price,148.52
Day Change $,0.09
Day Change %,0.0006
Day High,149.36
Day Low,147.78
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.295
Last (size),2900.0
Last (time),5:00p ET 11/25/22
Market Cap,17.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.72
Prev Close,148.43
Shares Outstanding,117.7M
Short Interest,0.0124
Today's Open,148.24
Volume,257884.0
Volume 10-day Avg,623517.0
Volume Past Day,(Light)
