,CCCS
% Above Low,0.22
% Held by Institutions,0.9648
52-Wk Range,['7.41 - 13.46']
Annual Dividend $,
Annual Dividend %,
Ask,9.93
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,3.6
Bid Size,200.0
Closing Price,9.04
Day Change $,0.01
Day Change %,0.0011
Day High,9.11
Day Low,8.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.04
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.03
Shares Outstanding,620.7M
Short Interest,0.0252
Today's Open,9.03
Volume,225005.0
Volume 10-day Avg,745018.0
Volume Past Day,(Light)
