,CCCS
Price/Earnings (TTM),
Price/Sales (TTM),7.33086
Price/Book (MRQ),2.78812
Price/Cash Flow (TTM),53.42961
5yr Low,7.41
5yr High,16.11
5yr Avg Return,-0.0796
Short Int Current Month,4485029.0
Short Int Prev Month,4064473.0
Short Int Pct of Float,0.0251838
Days to Cover,3.71357
Float,602.05
Shares Outstanding,620.7115
Institutions Holding Shares,146.0
% Held by Institutions,0.96475
FCF Growth 5yr,0.1849765471075936
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
